Gene	1_ST_1	1_ST_2	1_ST_3	1_ST_4	1_ST_5	1_ST_6	1_ST_7	1_ST_8	1_ST_9	1_ST_10	1_ST_11	1_ST_12	1_ST_13	1_ST_14	1_ST_15	1_ST_16	1_ST_17	1_ST_18	1_ST_19	1_ST_20	1_ST_21	1_ST_22	1_ST_23	1_ST_24
ABCD4	5.33	152.73	5.83	20.06	12.61	0.00	0.00	0.00	19.32	25.73	93.36	51.65	86.82	8.82	0.00	0.00	60.74	5.92	39.10	29.92	0.00	0.00	151.80	57.18
ABCE1	159.90	142.87	46.66	113.66	117.29	0.00	0.00	0.00	11.59	29.69	44.81	131.99	75.25	79.41	0.00	0.00	110.43	94.71	33.51	12.82	0.00	0.00	84.83	4.57
ABCF1	5.33	0.00	87.49	80.23	76.93	0.00	0.00	0.00	19.32	178.14	8.71	34.43	135.06	132.35	0.00	162.26	88.34	130.23	130.32	94.04	0.00	171.98	98.22	27.45
ABCF2	106.60	0.00	68.05	73.54	32.79	0.00	0.00	0.00	313.00	37.61	4.98	0.00	1.93	17.65	0.00	9.01	13.80	5.92	74.47	0.00	0.00	0.00	0.00	4.57
ABCF3	63.96	0.00	56.38	73.54	18.92	0.00	0.00	0.00	0.00	61.36	2.49	20.08	1.93	150.00	0.00	13.52	19.33	2.96	78.19	38.47	0.00	0.00	8.93	59.47
ABCG1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG2	0.00	0.00	1.94	6.69	1.26	0.00	0.00	0.00	7.73	148.45	0.00	0.00	0.00	8.82	0.00	63.10	0.00	0.00	0.00	0.00	0.00	0.00	4.46	50.32
ABCG4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG5	63.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD1	0.00	0.00	36.94	40.11	47.92	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	49.58	24.85	2.96	0.00	0.00	0.00	0.00	0.00	18.30
ABHD10	63.96	34.49	33.05	73.54	15.13	0.00	0.00	0.00	69.56	31.67	22.41	11.48	55.95	8.82	0.00	13.52	71.78	23.68	20.48	21.37	407.83	49.14	13.39	109.79
ABHD11	341.12	44.34	60.27	20.06	6.31	0.00	0.00	0.00	3.86	83.13	54.77	54.52	44.38	8.82	0.00	9.01	33.13	171.66	27.93	72.67	0.00	122.84	4.46	125.80
ABHD11-AS1	0.00	0.00	9.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD12	26.65	4.93	9.72	20.06	10.09	0.00	0.00	0.00	3.86	1.98	1.24	2.87	5.79	61.77	0.00	0.00	2.76	5.92	9.31	0.00	0.00	81.89	0.00	0.00
ABHD12B	10.66	0.00	7.78	0.00	5.04	0.00	0.00	0.00	0.00	1.98	2.49	28.69	3.86	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	8.19	0.00	2.29
ABHD13	21.32	34.49	3.89	0.00	34.05	0.00	0.00	0.00	7.73	95.01	102.07	80.34	34.73	8.82	0.00	18.03	138.04	0.00	7.45	72.67	0.00	0.00	8.93	6.86
ABHD14A	5.33	29.56	7.78	46.80	10.09	0.00	0.00	0.00	42.51	77.19	148.13	63.12	77.17	105.88	327.01	63.10	30.37	5.92	20.48	4.27	0.00	393.09	13.39	6.86
ABHD14A-ACY1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD14B	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.87	1.93	0.00	0.00	0.00	0.00	2.96	0.00	0.00	0.00	0.00	93.76	41.17
ABHD15	0.00	0.00	0.00	46.80	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	4.27	0.00	0.00	107.15	0.00
ABHD16A	63.96	4.93	42.77	13.37	27.75	0.00	0.00	0.00	34.78	69.28	9.96	131.99	208.37	17.65	0.00	76.62	0.00	44.40	68.88	8.55	0.00	0.00	13.39	0.00
